"","adjusted_mle","std","z.value","p.value"
"X560",0.0251051751924409,0.0963018885585272,0.260692449215919,0.794329689424827
"X494",0.0367020337464276,0.101511100228031,0.361556851063394,0.717683213986452
"X80",-0.00507566382016559,0.105848305121069,-0.0479522446236625,0.961754302059857
"X115",-0.0360047755042132,0.0971583393407051,-0.370578333764591,0.710951621979895
"X270",-0.0288289144380517,0.0965220308035988,-0.298677039822259,0.765186477392588
"X496",-0.00154489318629779,0.0966356623027718,-0.0159867811683997,0.98724493744825
"X53",-0.0460026729726273,0.276912271365632,-0.166127245808785,0.868056813016725
"X547",0.00569104212550251,0.0989549881489221,0.0575114224351964,0.954137807382301
"X306",0.00815816045233398,0.0977289747947608,0.0834773972556943,0.93347194903058
"X413",0.0448678656298911,0.288918634700013,0.155295852330459,0.876588085309186
"X96",-0.00532242656387009,0.338805309065827,-0.0157093954004009,0.987466231477154
"X580",0.00932325089384147,0.132159294158977,0.0705455560516718,0.943759442358003
"X91",-0.019866603599955,0.119282678471053,-0.166550616188386,0.867723653395572
"X518",0.158257561775509,0.882710586783891,0.179285899755787,0.857713217838098
"X223",-0.000269053244182066,0.102953329120214,-0.00261335156892212,0.997914849504667
"X511",0.0470170409760863,0.0961591725954785,0.488950140761684,0.624876996189666
